Artifact Creator | Short Id | Miner algo | Log | Miner Duration | Estimator Duration | LOG_EVENT_COUNT | LOG_TRACE_COUNT | MODEL_ENTITY_COUNT | MODEL_EDGE_COUNT | EARTH_MOVERS_LIGHT_COVERAGE | ENTROPY_PRECISION | ENTROPY_RECALL | Run file | Machine | 
Activity Pair Left-Handed Estimator | aplh-split | split | BPIC2013 incidents | 968 | 687 | 65533 | 7554 | 20 | 24 | FAILED | 0.10092207524011218 | 0.8157521972726631 | mrun_aplh-split_BPIC2013_incidents.xml | SEF-1953019678 | 
Activity Pair Right-Handed Estimator | aprh-split | split | BPIC2013 incidents | 968 | 687 | 65533 | 7554 | 20 | 24 | FAILED | 0.10092207524011218 | 0.8157521972726631 | mrun_aprh-split_BPIC2013_incidents.xml | SEF-1953019678 | 
Fork Distributed Estimator | bce-split | split | BPIC2013 incidents | 968 | 672 | 65533 | 7554 | 20 | 24 | FAILED | 0.10092207524011218 | 0.8157521972726631 | mrun_bce-split_BPIC2013_incidents.xml | SEF-1953019678 | 
Frequency Estimator | fe-split | split | BPIC2013 incidents | 968 | 719 | 65533 | 7554 | 20 | 24 | FAILED | 0.10092207524011218 | 0.8157521972726631 | mrun_fe-split_BPIC2013_incidents.xml | SEF-1953019678 | 
Mean Scaled Activity Pair Estimator | msaprh-split | split | BPIC2013 incidents | 968 | 672 | 65533 | 7554 | 20 | 24 | 0.739378941877501 | 0.5653277810947244 | 0.8157521972726631 | mrun_msaprh-split_BPIC2013_incidents.xml | SEF-1953019678 | 
Alignment | align-fodina | fodina | BPIC2013 open | 47 | 47 | 2351 | 819 | 8 | 8 | 0.47202183446134005 | 1.0 | 0.0864588006635 | mrun_align-fodina_BPIC2013_open.xml | SEF-1953019678 | 
Activity Pair Left-Handed Estimator | aplh-fodina | fodina | BPIC2013 open | 47 | 32 | 2351 | 819 | 8 | 8 | 0.47202183446134005 | 1.0 | 0.0864588006635 | mrun_aplh-fodina_BPIC2013_open.xml | SEF-1953019678 | 
Activity Pair Right-Handed Estimator | aprh-fodina | fodina | BPIC2013 open | 47 | 31 | 2351 | 819 | 8 | 8 | 0.47202183446134005 | 1.0 | 0.0864588006635 | mrun_aprh-fodina_BPIC2013_open.xml | SEF-1953019678 | 
Fork Distributed Estimator | bce-fodina | fodina | BPIC2013 open | 47 | 31 | 2351 | 819 | 8 | 8 | 0.47202183446134005 | 1.0 | 0.0864588006635 | mrun_bce-fodina_BPIC2013_open.xml | SEF-1953019678 | 
Frequency Estimator | fe-fodina | fodina | BPIC2013 open | 47 | 31 | 2351 | 819 | 8 | 8 | 0.47202183446134005 | 1.0 | 0.0864588006635 | mrun_fe-fodina_BPIC2013_open.xml | SEF-1953019678 | 
Mean Scaled Activity Pair Estimator | msaprh-fodina | fodina | BPIC2013 open | 47 | 32 | 2351 | 819 | 8 | 8 | 0.47202183446134005 | 1.0 | 0.0864588006635 | mrun_msaprh-fodina_BPIC2013_open.xml | SEF-1953019678 | 
Alignment | align-inductive | inductive | BPIC2013 open | 172 | 156 | 2351 | 819 | 15 | 18 | -2.444721758365631E-8 | 0.9144329773787888 | 0.4166020635280296 | mrun_align-inductive_BPIC2013_open.xml | SEF-1953019678 | 
Activity Pair Left-Handed Estimator | aplh-inductive | inductive | BPIC2013 open | 172 | 47 | 2351 | 819 | 15 | 18 | 0.5338694361612153 | 0.9210879547948385 | 0.4166020732419985 | mrun_aplh-inductive_BPIC2013_open.xml | SEF-1953019678 | 
Activity Pair Right-Handed Estimator | aprh-inductive | inductive | BPIC2013 open | 172 | 31 | 2351 | 819 | 15 | 18 | 0.496078295790895 | 0.9210879547948385 | 0.4166020732419985 | mrun_aprh-inductive_BPIC2013_open.xml | SEF-1953019678 | 
Fork Distributed Estimator | bce-inductive | inductive | BPIC2013 open | 172 | 46 | 2351 | 819 | 15 | 18 | 0.5900612135772563 | 0.8670618645427377 | 0.4166020732419985 | mrun_bce-inductive_BPIC2013_open.xml | SEF-1953019678 | 
Frequency Estimator | fe-inductive | inductive | BPIC2013 open | 172 | 62 | 2351 | 819 | 15 | 18 | 0.7020298412715517 | 0.7514677937016416 | 0.4166020732419985 | mrun_fe-inductive_BPIC2013_open.xml | SEF-1953019678 | 
Mean Scaled Activity Pair Estimator | msaprh-inductive | inductive | BPIC2013 open | 172 | 48 | 2351 | 819 | 15 | 18 | 0.6974573874554021 | 0.7389694384763714 | 0.4166020732419985 | mrun_msaprh-inductive_BPIC2013_open.xml | SEF-1953019678 | 
Rogge-Solti Discovery | rssmt | rssmt | BPIC2013 open | 1046 | 0 | 2351 | 819 | 31 | 38 | 0.5013942099492326 | 0.7061939798864048 | 0.41241462288028424 | mrun_rssmt_BPIC2013_open.xml | SEF-1953019678 | 
Alignment | align-split | split | BPIC2013 open | 968 | 63 | 2351 | 819 | 15 | 18 | -2.444721758365631E-8 | 1.0 | 0.2581050143833456 | mrun_align-split_BPIC2013_open.xml | SEF-1953019678 | 
Activity Pair Left-Handed Estimator | aplh-split | split | BPIC2013 open | 968 | 30 | 2351 | 819 | 15 | 18 | 0.54746895935056 | 0.9962542754046677 | 0.9049240110580106 | mrun_aplh-split_BPIC2013_open.xml | SEF-1953019678 | 
Activity Pair Right-Handed Estimator | aprh-split | split | BPIC2013 open | 968 | 31 | 2351 | 819 | 15 | 18 | 0.54746895935056 | 0.9957069538006802 | 0.9049240110580106 | mrun_aprh-split_BPIC2013_open.xml | SEF-1953019678 | 
Fork Distributed Estimator | bce-split | split | BPIC2013 open | 968 | 31 | 2351 | 819 | 15 | 18 | 0.54746895935056 | 0.9957784948047815 | 0.9049240110580106 | mrun_bce-split_BPIC2013_open.xml | SEF-1953019678 | 
Frequency Estimator | fe-split | split | BPIC2013 open | 968 | 32 | 2351 | 819 | 15 | 18 | 0.54746895935056 | 0.9957784948047818 | 0.9049240110580106 | mrun_fe-split_BPIC2013_open.xml | SEF-1953019678 | 
Mean Scaled Activity Pair Estimator | msaprh-split | split | BPIC2013 open | 968 | 32 | 2351 | 819 | 15 | 18 | 0.866249603831087 | 0.8521359397352627 | 0.9049240110580106 | mrun_msaprh-split_BPIC2013_open.xml | SEF-1953019678 | 
Alignment | align-fodina | fodina | BPIC2018 control | 47 | 3656 | 161296 | 43808 | 36 | 46 | 0.5950563443648313 | 0.07270143163545714 | 1.9626267488135544E-8 | mrun_align-fodina_BPIC2018_control.xml | SEF-1953019678 | 
Activity Pair Left-Handed Estimator | aplh-fodina | fodina | BPIC2018 control | 47 | 3546 | 161296 | 43808 | 36 | 46 | 0.835998021833369 | 0.07270143163545714 | 1.9626267488135544E-8 | mrun_aplh-fodina_BPIC2018_control.xml | SEF-1953019678 | 
Activity Pair Right-Handed Estimator | aprh-fodina | fodina | BPIC2018 control | 47 | 3531 | 161296 | 43808 | 36 | 46 | 0.8361496985010626 | 0.07270143163545714 | 1.9626267488135544E-8 | mrun_aprh-fodina_BPIC2018_control.xml | SEF-1953019678 | 
Fork Distributed Estimator | bce-fodina | fodina | BPIC2018 control | 47 | 3515 | 161296 | 43808 | 36 | 46 | 0.8361792002025547 | 0.07270143163545714 | 1.9626267488135544E-8 | mrun_bce-fodina_BPIC2018_control.xml | SEF-1953019678 | 
Frequency Estimator | fe-fodina | fodina | BPIC2018 control | 47 | 3515 | 161296 | 43808 | 36 | 46 | 0.8360498815048325 | 0.07270143163545714 | 1.9626267488135544E-8 | mrun_fe-fodina_BPIC2018_control.xml | SEF-1953019678 | 
Mean Scaled Activity Pair Estimator | msaprh-fodina | fodina | BPIC2018 control | 47 | 3515 | 161296 | 43808 | 36 | 46 | 0.8362526781901829 | 0.07270143163545714 | 1.9626267488135544E-8 | mrun_msaprh-fodina_BPIC2018_control.xml | SEF-1953019678 | 
Alignment | align-inductive | inductive | BPIC2018 control | 172 | 3906 | 161296 | 43808 | 23 | 28 | 0.8925845203480252 | 0.9928290654646759 | 0.6084857095846918 | mrun_align-inductive_BPIC2018_control.xml | SEF-1953019678 | 
Activity Pair Left-Handed Estimator | aplh-inductive | inductive | BPIC2018 control | 172 | 3640 | 161296 | 43808 | 23 | 28 | 0.7691929738478834 | 0.9165091459106249 | 0.999489895087208 | mrun_aplh-inductive_BPIC2018_control.xml | SEF-1953019678 | 
Activity Pair Right-Handed Estimator | aprh-inductive | inductive | BPIC2018 control | 172 | 3468 | 161296 | 43808 | 23 | 28 | 0.7533939499238211 | 0.9165091459106247 | 0.999489895087208 | mrun_aprh-inductive_BPIC2018_control.xml | SEF-1953019678 | 
Fork Distributed Estimator | bce-inductive | inductive | BPIC2018 control | 172 | 3531 | 161296 | 43808 | 23 | 28 | 0.7623550516855915 | 0.9151657120381582 | 0.999489895087208 | mrun_bce-inductive_BPIC2018_control.xml | SEF-1953019678 | 
Frequency Estimator | fe-inductive | inductive | BPIC2018 control | 172 | 3703 | 161296 | 43808 | 23 | 28 | 0.7826295654268601 | 0.914540775001292 | 0.999489895087208 | mrun_fe-inductive_BPIC2018_control.xml | SEF-1953019678 | 
Mean Scaled Activity Pair Estimator | msaprh-inductive | inductive | BPIC2018 control | 172 | 3562 | 161296 | 43808 | 23 | 28 | 0.9374640867418638 | 0.6568072836838894 | 0.999489895087208 | mrun_msaprh-inductive_BPIC2018_control.xml | SEF-1953019678 | 
Rogge-Solti Discovery | rssmt | rssmt | BPIC2018 control | 5014 | 0 | 161296 | 43808 | 34 | 40 | 0.9990871237612474 | 0.7836663945966569 | 0.9824362082509407 | mrun_rssmt_BPIC2018_control.xml | SEF-1953019678 | 
Alignment | align-split | split | BPIC2018 control | 968 | 3562 | 161296 | 43808 | 23 | 28 | 0.711132555497502 | 1.0 | 0.0015851994402883995 | mrun_align-split_BPIC2018_control.xml | SEF-1953019678 | 
Activity Pair Left-Handed Estimator | aplh-split | split | BPIC2018 control | 968 | 3531 | 161296 | 43808 | 23 | 28 | 0.711132555497502 | 0.7372290322727147 | 0.9824362204375521 | mrun_aplh-split_BPIC2018_control.xml | SEF-1953019678 | 
Activity Pair Right-Handed Estimator | aprh-split | split | BPIC2018 control | 968 | 3530 | 161296 | 43808 | 23 | 28 | 0.7152221947466935 | 0.7153039051974406 | 0.9824362204375521 | mrun_aprh-split_BPIC2018_control.xml | SEF-1953019678 | 
Fork Distributed Estimator | bce-split | split | BPIC2018 control | 968 | 3609 | 161296 | 43808 | 23 | 28 | 0.7152221947466935 | 0.7153039051974405 | 0.9824362204375521 | mrun_bce-split_BPIC2018_control.xml | SEF-1953019678 | 
Frequency Estimator | fe-split | split | BPIC2018 control | 968 | 3515 | 161296 | 43808 | 23 | 28 | 0.7647039902267943 | 0.7153039051974406 | 0.9824362204375521 | mrun_fe-split_BPIC2018_control.xml | SEF-1953019678 | 
Mean Scaled Activity Pair Estimator | msaprh-split | split | BPIC2018 control | 968 | 3499 | 161296 | 43808 | 23 | 28 | 0.8973398290117535 | 0.9427701980840197 | 0.9824362204375519 | mrun_msaprh-split_BPIC2018_control.xml | SEF-1953019678 | 
Alignment | align-fodina | fodina | BPIC2018 dept | 47 | 1860 | 46669 | 29297 | 40 | 56 | 0.8706875100470235 | 1.0 | 2.2517064021059356E-8 | mrun_align-fodina_BPIC2018_dept.xml | SEF-1953019678 | 
Activity Pair Left-Handed Estimator | aplh-fodina | fodina | BPIC2018 dept | 47 | 1562 | 46669 | 29297 | 40 | 56 | 0.8706875100470235 | 1.0 | 2.2517064021059356E-8 | mrun_aplh-fodina_BPIC2018_dept.xml | SEF-1953019678 | 
Activity Pair Right-Handed Estimator | aprh-fodina | fodina | BPIC2018 dept | 47 | 1593 | 46669 | 29297 | 40 | 56 | 0.8706875100470235 | 1.0 | 2.2517064021059356E-8 | mrun_aprh-fodina_BPIC2018_dept.xml | SEF-1953019678 | 
Fork Distributed Estimator | bce-fodina | fodina | BPIC2018 dept | 47 | 1671 | 46669 | 29297 | 40 | 56 | 0.8706875100470235 | 1.0 | 2.2517064021059356E-8 | mrun_bce-fodina_BPIC2018_dept.xml | SEF-1953019678 | 
Frequency Estimator | fe-fodina | fodina | BPIC2018 dept | 47 | 1578 | 46669 | 29297 | 40 | 56 | 0.8706875100470235 | 1.0 | 2.2517064021059356E-8 | mrun_fe-fodina_BPIC2018_dept.xml | SEF-1953019678 | 
Mean Scaled Activity Pair Estimator | msaprh-fodina | fodina | BPIC2018 dept | 47 | 1578 | 46669 | 29297 | 40 | 56 | 0.8706875100470235 | 1.0 | 2.2517064021059356E-8 | mrun_msaprh-fodina_BPIC2018_dept.xml | SEF-1953019678 | 
Alignment | align-inductive | inductive | BPIC2018 dept | 172 | 2312 | 46669 | 29297 | 17 | 20 | 0.460389538653576 | 1.0 | 0.00231297912570574 | mrun_align-inductive_BPIC2018_dept.xml | SEF-1953019678 | 
Activity Pair Left-Handed Estimator | aplh-inductive | inductive | BPIC2018 dept | 172 | 1921 | 46669 | 29297 | 17 | 20 | 0.460389538653576 | 0.9999999999995078 | 0.6450335115057068 | mrun_aplh-inductive_BPIC2018_dept.xml | SEF-1953019678 | 
Activity Pair Right-Handed Estimator | aprh-inductive | inductive | BPIC2018 dept | 172 | 1906 | 46669 | 29297 | 17 | 20 | 0.571500632650018 | 0.999999999907465 | 0.6450335115057068 | mrun_aprh-inductive_BPIC2018_dept.xml | SEF-1953019678 | 
Fork Distributed Estimator | bce-inductive | inductive | BPIC2018 dept | 172 | 1922 | 46669 | 29297 | 17 | 20 | 0.571500632650018 | 0.99999999999144 | 0.645033511505707 | mrun_bce-inductive_BPIC2018_dept.xml | SEF-1953019678 | 
Frequency Estimator | fe-inductive | inductive | BPIC2018 dept | 172 | 2015 | 46669 | 29297 | 17 | 20 | 0.571500632650018 | 0.9999999999632908 | 0.6450335115057068 | mrun_fe-inductive_BPIC2018_dept.xml | SEF-1953019678 | 
Mean Scaled Activity Pair Estimator | msaprh-inductive | inductive | BPIC2018 dept | 172 | 1906 | 46669 | 29297 | 17 | 20 | 0.7839738013460736 | 0.999999999951597 | 0.6450335115057068 | mrun_msaprh-inductive_BPIC2018_dept.xml | SEF-1953019678 | 
Rogge-Solti Discovery | rssmt | rssmt | BPIC2018 dept | 12200 | 0 | 46669 | 29297 | 44 | 54 | 0.9562375470942213 | 0.8399746459284071 | 0.8861140606659746 | mrun_rssmt_BPIC2018_dept.xml | SEF-1953019678 | 
Alignment | align-split | split | BPIC2018 dept | 968 | 1875 | 46669 | 29297 | 32 | 42 | 0.460389538653576 | 1.0 | 0.00231297912570574 | mrun_align-split_BPIC2018_dept.xml | SEF-1953019678 | 
Activity Pair Left-Handed Estimator | aplh-split | split | BPIC2018 dept | 968 | 1781 | 46669 | 29297 | 32 | 42 | 0.460389538653576 | 0.6539389321058855 | 0.9801320645853158 | mrun_aplh-split_BPIC2018_dept.xml | SEF-1953019678 | 
Activity Pair Right-Handed Estimator | aprh-split | split | BPIC2018 dept | 968 | 1610 | 46669 | 29297 | 32 | 42 | 0.6103895341221097 | 0.6269686934657561 | 0.9801320645853158 | mrun_aprh-split_BPIC2018_dept.xml | SEF-1953019678 | 
Fork Distributed Estimator | bce-split | split | BPIC2018 dept | 968 | 1609 | 46669 | 29297 | 32 | 42 | 0.6103895341221097 | 0.6269686934657562 | 0.9801320645853158 | mrun_bce-split_BPIC2018_dept.xml | SEF-1953019678 | 
Frequency Estimator | fe-split | split | BPIC2018 dept | 968 | 1734 | 46669 | 29297 | 32 | 42 | 0.6103895341221097 | 0.6269686934657561 | 0.9801320645853158 | mrun_fe-split_BPIC2018_dept.xml | SEF-1953019678 | 
Mean Scaled Activity Pair Estimator | msaprh-split | split | BPIC2018 dept | 968 | 1624 | 46669 | 29297 | 32 | 42 | 0.7844886664252445 | 0.49489574995832103 | 0.9801320645853158 | mrun_msaprh-split_BPIC2018_dept.xml | SEF-1953019678 | 
Alignment | align-fodina | fodina | BPIC2018 reference | 47 | 3624 | 128554 | 43802 | 35 | 46 | 0.42232735849685543 | 0.06503031516939814 | 1.5488354997704574E-8 | mrun_align-fodina_BPIC2018_reference.xml | SEF-1953019678 | 
Activity Pair Left-Handed Estimator | aplh-fodina | fodina | BPIC2018 reference | 47 | 3093 | 128554 | 43802 | 35 | 46 | FAILED | 0.06503031516939813 | 1.5488354997704574E-8 | mrun_aplh-fodina_BPIC2018_reference.xml | SEF-1953019678 | 
Activity Pair Right-Handed Estimator | aprh-fodina | fodina | BPIC2018 reference | 47 | 3125 | 128554 | 43802 | 35 | 46 | FAILED | 0.06503031516939814 | 1.5488354997704574E-8 | mrun_aprh-fodina_BPIC2018_reference.xml | SEF-1953019678 | 
Fork Distributed Estimator | bce-fodina | fodina | BPIC2018 reference | 47 | 2984 | 128554 | 43802 | 35 | 46 | FAILED | 0.06503031516939813 | 1.5488354997704574E-8 | mrun_bce-fodina_BPIC2018_reference.xml | SEF-1953019678 | 
Frequency Estimator | fe-fodina | fodina | BPIC2018 reference | 47 | 3109 | 128554 | 43802 | 35 | 46 | FAILED | 0.06503031516939814 | 1.5488354997704574E-8 | mrun_fe-fodina_BPIC2018_reference.xml | SEF-1953019678 | 
Mean Scaled Activity Pair Estimator | msaprh-fodina | fodina | BPIC2018 reference | 47 | 3202 | 128554 | 43802 | 35 | 46 | FAILED | 0.06503031516939811 | 1.5488354997704574E-8 | mrun_msaprh-fodina_BPIC2018_reference.xml | SEF-1953019678 | 
Alignment | align-inductive | inductive | BPIC2018 reference | 172 | 3828 | 128554 | 43802 | 23 | 28 | 0.8446547359930571 | 0.5001972618677921 | 0.4161519958181923 | mrun_align-inductive_BPIC2018_reference.xml | SEF-1953019678 | 
Activity Pair Left-Handed Estimator | aplh-inductive | inductive | BPIC2018 reference | 172 | 3625 | 128554 | 43802 | 23 | 28 | 0.9036412468840922 | 0.35165205704137226 | 0.9618188900179881 | mrun_aplh-inductive_BPIC2018_reference.xml | SEF-1953019678 | 
Activity Pair Right-Handed Estimator | aprh-inductive | inductive | BPIC2018 reference | 172 | 3265 | 128554 | 43802 | 23 | 28 | 0.9012971413616323 | 0.4220365116327131 | 0.9618188900179881 | mrun_aprh-inductive_BPIC2018_reference.xml | SEF-1953019678 | 
Fork Distributed Estimator | bce-inductive | inductive | BPIC2018 reference | 172 | 3296 | 128554 | 43802 | 23 | 28 | 0.8985621603640268 | 0.6195330922253636 | 0.9618188900179884 | mrun_bce-inductive_BPIC2018_reference.xml | SEF-1953019678 | 
Frequency Estimator | fe-inductive | inductive | BPIC2018 reference | 172 | 3874 | 128554 | 43802 | 23 | 28 | 0.8794883981879487 | 0.40485520536016323 | 0.9618188900179881 | mrun_fe-inductive_BPIC2018_reference.xml | SEF-1953019678 | 
Mean Scaled Activity Pair Estimator | msaprh-inductive | inductive | BPIC2018 reference | 172 | 3280 | 128554 | 43802 | 23 | 28 | 0.9544788995783166 | 0.9940166699406964 | 0.9618188900179881 | mrun_msaprh-inductive_BPIC2018_reference.xml | SEF-1953019678 | 
Rogge-Solti Discovery | rssmt | rssmt | BPIC2018 reference | 9576 | 0 | 128554 | 43802 | 35 | 42 | 0.973895949286226 | 0.996295776188233 | 0.8257747364252687 | mrun_rssmt_BPIC2018_reference.xml | SEF-1953019678 | 
Alignment | align-split | split | BPIC2018 reference | 968 | 3515 | 128554 | 43802 | 26 | 32 | 0.6108210398283829 | 1.0 | 8.202155541338573E-4 | mrun_align-split_BPIC2018_reference.xml | SEF-1953019678 | 
